Username,Text,language,retweet_count,Time,location
Kamran94036493,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:16:09+00:00,
Anita19462445,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:16:05+00:00,
nikiums,"#Anonymous, #NAFOfellas, #Iran revolutionaries and concerned citizens want to know @elonmusk why you ban #Ukraine 380 and Iran 98 country codes?   They can’t report the atrocities  They can’t register   Who are you in bed with?   We demand answers   The people demand answers https://t.co/ybB1AuSIwP",en,224,2022-12-31 17:16:03+00:00,
roozbeh91947589,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:16:02+00:00,
isqrgll,It’s sad cause it’s true.    #IranRevolution #Iran #IranLobby https://t.co/68Rr8hwtYp,en,1866,2022-12-31 17:16:00+00:00,
foffbi,It’s sad cause it’s true.    #IranRevolution #Iran #IranLobby https://t.co/68Rr8hwtYp,en,1866,2022-12-31 17:15:58+00:00,
ghanoun11,IRGC terrorists are massacring people in #Javanrud.  The mullahs' regime in #Iran is committing crimes against humanity and the world is sleeping  #MahsaAmini   @UN_HRC   @UNHumanRights   @JosepBorrellF   @EUCouncil   @VP   @WhiteHouse   @Europarl_EN   @CanadianPM   @CNN   @dwnews,en,2307,2022-12-31 17:15:57+00:00,
Klinkmi,"The 107th day of the #IranRevolution- Dec 31st.  Today  Tehran, #Iran  Authorities dispatched a large number of heavily equipped security forces and anti-riot units to the city's Bazaar area to prevent any signs of protests.  #FreeIran2023   https://t.co/3KThYpzmxV",en,3,2022-12-31 17:15:56+00:00,Deutschland
melimjk,be their voice   #AmirNasrAzadani   #saeidYaghoubi  #SalehMirhashmi  #AkbarGafari   #امیر_نصرآزادانی   #سعید_یعقوبی   #صالح_میرهاشمی  #اکبر_غفاری  @Europarl_EN   @UN   @UNHumanRights   @UNICEF   #WomenLifeFreedom   #زن_زندگی_آزادی   #iran https://t.co/FUdwOByMaH,en,6,2022-12-31 17:15:56+00:00,Earth
JohnKharian,Iranian fans chant for Palestine 🇵🇸    #FIFAWorldCup #Qatar2022 #Iran https://t.co/ux9L4SWqnp,en,29,2022-12-31 17:15:56+00:00,KHARIAN
Accelerator_Msh,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:15:40+00:00,
Eliemohandes,Beheshti University graduate Sepideh Ahmadkhani has reportedly been sentenced to 74 lashes and six years in prison in connection with #IranProtests.     She has also been ordered to write an 80-page thesis on “society’s need for security and patriotism.” #سپیده_احمدخانی #Iran https://t.co/mi2ShOr6jk,en,608,2022-12-31 17:15:40+00:00,هیچ کجا
christie_ybarra,"There was a huge campaign a few wks ago in #Iran to have Raisi’s @instagram banned, but he’s since been verified. President of one of the most anti-internet countries in the 🌍 who deprives #Iranians of net access/social networks now has a blue check mark?  @Meta? #IranRevolution https://t.co/JlwaXkW7ZC",en,618,2022-12-31 17:15:38+00:00,
Yalda60922653,"If you know, you know. 🔥😂     #Iran #IranRevolution #shervinhajipour https://t.co/FLCKbzbvZ0",en,1214,2022-12-31 17:15:37+00:00,
WeWillSaveIran1,"Today, December 31, several #Abadan Refinery staff protested before the company's main building.  #Iran https://t.co/ROrKgWqRZe",en,11,2022-12-31 17:15:36+00:00,سرباز وطن
CTKelly6,"When #NazilaMaroufian interviewed #MahsaAmini’s father,she was threatened &amp; asked not to publish it. But she did. She was arrested on Oct 30 &amp; has been unjustly in prison since then. Incredible courage &amp; commitment in telling the truth. Respect!  #مهسا_امینی #نازیلا_معروفیان #Iran https://t.co/MUDXPiUDzw",en,1534,2022-12-31 17:15:33+00:00,"Brighton, England"
